Timestamp,Asal Instansi,Jenis kelamin,Fakultas/sekolah asal,Prodi asal,Semester kuliah bagi mahasiswa aktif ketika mengikuti Program GIKnowledge Building (di semester ganjil tahun ajaran 2025/2026)?,Jenjang pendidikan asal,Dari mana kamu mengetahui informasi terkait Program GIKnowledge Building?,Apa yang membuatmu tertarik mengikuti GIKnowledge Building?
2025-06-13 8:00:46,Universitas Gadjah Mada,Perempuan,MATEMATIKA DAN ILMU PENGETAHUAN ALAM,S1 Fisika,Semester 7,Akademik (Sarjana/S1),"Instagram GIK UGM, Website GIK UGM","Saya tertarik setelah saya melihat informasi dari social media mitra GIKnowledge Building, Saya tertarik setelah saya membaca buku panduan GIK GIKnowledge Building dengan program pembelajarannya yang dapat merealisasikan ilmu yang didapat pada program GIKnowledge Building ini di dunia nyata dengan basic pengalaman terhadap proyek yang dikerjakan "
2025-07-12 21:44:54,Universitas Gadjah Mada,Perempuan,TEKNOLOGI PERTANIAN,S1 Teknik Pertanian,Semester 5,Akademik (Sarjana/S1),Website GIK UGM,"Saya tertarik setelah mendengarkan sosialisasi, Saya tertarik setelah saya mendapatkan informasi program ini di UGM Integrated Career Days, Saya tertarik setelah saya melihat informasi dari social media GIK, Saya tertarik setelah saya melihat informasi dari social media mitra GIKnowledge Building"
2025-06-19 9:58:19,Universitas Gadjah Mada,Laki-Laki,HUKUM,S2 Magister Ilmu Hukum,N/A,Akademik (Pascasarjana/S2),"Instagram GIK UGM, Teman","Saya tertarik setelah saya mendapatkan informasi program ini di UGM Integrated Career Days, Saya tertarik setelah saya melihat informasi dari social media GIK"
2025-07-19 23:06:49,UNIVERSITAS AHMAD DACHLAN,Laki-Laki,SEKOLAH VOKASI,D4 Pembangunan Ekonomi Kewilayahan,Semester 5,Vokasi (Sarjana Terapan/D4),"Instagram GIK UGM, Website GIK UGM","Saya tertarik setelah saya mendapatkan informasi dari Prodi/Fakultas, Saya tertarik setelah saya melihat informasi dari social media GIK"
2025-07-18 21:19:47,Universitas Gadjah Mada,Perempuan,TEKNIK,S1 Teknik Industri,Semester 5,Akademik (Sarjana/S1),"Instagram GIK UGM, Teman","Saya tertarik setelah mendengar teman saya ikut mendaftar GIKnowledge Building 2024, Saya tertarik setelah saya mendapatkan informasi program ini di UGM Integrated Career Days, Saya tertarik setelah saya melihat informasi dari social media mitra GIKnowledge Building"
2025-07-08 13:01:17,Universitas Gadjah Mada,Perempuan,ILMU SOSIAL DAN ILMU POLITIK,S1 Ilmu Hubungan Internasional,Semester 5,Akademik (Sarjana/S1),"Instagram GIK UGM, Email","Saya tertarik setelah saya mendapatkan informasi program ini di UGM Integrated Career Days, Saya tertarik setelah saya melihat informasi dari social media GIK"
2025-07-14 19:48:09,Universitas Negeri Yogyakarta,Perempuan,BIOLOGI,S1 Biologi,Semester 9,Akademik (Sarjana/S1),Instagram GIK UGM,"Saya tertarik setelah saya mendapatkan informasi dari Prodi/Fakultas, Saya tertarik setelah saya melihat informasi dari social media mitra GIKnowledge Building"
2025-06-28 12:34:57,Universitas Gadjah Mada,Laki-Laki,PERTANIAN,S1 Ekonomi Pertanian dan Agribisnis,Semester 5,Akademik (Sarjana/S1),"Pesan dari ditmawa, di layar bunderan ugm, dll",Saya tertarik karena programnya bagus dan dapat meningkatkan kapasitas saya agar bisa mendapatkan pekerjaan yang halal nantinya
2025-07-20 23:43:54,Universitas Gadjah Mada,Perempuan,TEKNIK,Teknik Kimia,N/A,Alumni UGM,Instagram GIK UGM,"Saya tertarik setelah mendengarkan sosialisasi, Saya tertarik setelah saya mendapatkan informasi program ini di UGM Integrated Career Days"
2025-06-26 21:25:30,Universitas Gadjah Mada,Perempuan,KEHUTANAN,S2 Magister Ilmu Kehutanan,N/A,Akademik (Pascasarjana/S2),WA Ditmawa UGM,Saya tertarik setelah mendengarkan sosialisasi
2025-07-20 18:39:47,Universitas Gadjah Mada,Perempuan,EKONOMIKA DAN BISNIS,S2 MAGISTER MANAJEMEN,N/A,Akademik (Pascasarjana/S2),Teman,"Saya tertarik setelah mendengar teman saya ikut mendaftar GIKnowledge Building 2024, Saya tertarik setelah saya mendapatkan informasi program ini di UGM Integrated Career Days, Saya tertarik setelah saya mendapatkan informasi dari Prodi/Fakultas"
2025-06-25 0:09:29,Universitas Gadjah Mada,Perempuan,MATEMATIKA DAN ILMU PENGETAHUAN ALAM,S1 Statistika,Semester 5,Akademik (Sarjana/S1),Simaster UGM,"Saya tertarik setelah mendengarkan sosialisasi, Saya tertarik setelah saya melihat informasi dari social media GIK"
2025-07-17 16:32:44,Universitas Negeri Yogyakarta,Perempuan,EKONOMIKA DAN BISNIS,S1 Ilmu Ekonomi,Semester 9,Akademik (Sarjana/S1),email UGM,"Saya tertarik setelah saya mendapatkan informasi program ini di UGM Integrated Career Days, Saya tertarik setelah saya mendapatkan informasi dari Prodi/Fakultas"
